Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-02-22,2005-02-14,2005-04-28,2098.25,2058.4,2098.25,2098.25,7,1.0,6.0,3.0,Open,6.78,38.07,1972.36,5,False
2005-02-23,2005-01-27,2005-04-28,1955.0,2057.1,2098.25,2098.25,1,,10.0,4.0,Open,4.95,42.23,1993.34,6,False
2005-02-23,2005-01-31,2005-04-28,2057.6,2057.1,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,46.41,1993.34,6,False
2005-02-23,2005-02-01,2005-04-28,2059.85,2057.1,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,38.7,1972.36,5,False
2005-02-23,2005-02-03,2005-04-28,2079.45,2057.1,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,38.65,1972.36,5,False
2005-02-23,2005-02-11,2005-04-28,2082.05,2057.1,2098.25,2098.25,5,1.0,3.0,2.0,Open,6.51,38.65,1972.36,5,False
2005-02-23,2005-02-14,2005-04-28,2098.25,2057.1,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,38.67,1972.36,5,False
2005-02-23,2005-02-14,2005-04-28,2098.25,2057.1,2098.25,2098.25,7,1.0,6.0,3.0,Open,6.78,38.67,1972.36,5,False
2005-02-24,2005-01-27,2005-04-28,1955.0,2055.3,2098.25,2098.25,1,,10.0,4.0,Open,4.95,42.9,1993.34,6,False
2005-02-24,2005-01-31,2005-04-28,2057.6,2055.3,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,47.15,1993.34,6,False
2005-02-24,2005-02-01,2005-04-28,2059.85,2055.3,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,39.31,1972.36,5,False
2005-02-24,2005-02-03,2005-04-28,2079.45,2055.3,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,39.27,1972.36,5,False
2005-02-24,2005-02-11,2005-04-28,2082.05,2055.3,2098.25,2098.25,5,1.0,3.0,2.0,Open,6.51,39.27,1972.36,5,False
2005-02-24,2005-02-14,2005-04-28,2098.25,2055.3,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,39.28,1972.36,5,False
2005-02-24,2005-02-14,2005-04-28,2098.25,2055.3,2098.25,2098.25,7,1.0,6.0,3.0,Open,6.78,39.28,1972.36,5,False
2005-02-25,2005-01-27,2005-04-28,1955.0,2060.9,2098.25,2098.25,1,,10.0,4.0,Open,4.95,43.59,1993.34,6,False
2005-02-25,2005-01-31,2005-04-28,2057.6,2060.9,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,47.91,1993.34,6,False
2005-02-25,2005-02-01,2005-04-28,2059.85,2060.9,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,39.95,1972.36,5,False
2005-02-25,2005-02-03,2005-04-28,2079.45,2060.9,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,39.9,1972.36,5,False
2005-02-25,2005-02-11,2005-04-28,2082.05,2060.9,2098.25,2098.25,5,1.0,3.0,2.0,Open,6.51,39.9,1972.36,5,False
2005-02-25,2005-02-14,2005-04-28,2098.25,2060.9,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,39.91,1972.36,5,False
2005-02-25,2005-02-14,2005-04-28,2098.25,2060.9,2098.25,2098.25,7,1.0,6.0,3.0,Open,6.78,39.91,1972.36,5,False
2005-02-28,2005-01-27,2005-04-28,1955.0,2103.25,2098.25,2103.25,1,,10.0,2.0,Open,4.95,53.44,2019.12,7,False
2005-02-28,2005-01-31,2005-04-28,2057.6,2103.25,2098.25,2103.25,2,1.0,2.0,1.0,Open,5.69,58.73,2019.12,7,False
2005-02-28,2005-02-01,2005-04-28,2059.85,2103.25,2098.25,2103.25,3,1.0,2.0,1.0,Open,5.76,50.38,2019.12,6,False
2005-02-28,2005-02-03,2005-04-28,2079.45,2103.25,2098.25,2103.25,4,1.0,2.0,1.0,Open,5.89,50.31,2019.12,6,False
2005-02-28,2005-02-11,2005-04-28,2082.05,2103.25,2098.25,2103.25,5,1.0,3.0,1.0,Open,6.51,50.31,2019.12,6,False
2005-02-28,2005-02-14,2005-04-28,2098.25,2103.25,2098.25,2103.25,6,1.0,2.0,1.0,Open,6.78,50.33,2019.12,6,False
2005-02-28,2005-02-14,2005-04-28,2098.25,2103.25,2098.25,2103.25,7,1.0,6.0,2.0,Open,6.78,50.33,2019.12,6,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,8,1.0,3.0,3.0,Open,5.69,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,9,5.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,10,7.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,11,6.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,12,3.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,13,4.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-02-28,2005-02-28,2005-05-26,2103.25,2103.25,2103.25,2103.25,14,2.0,2.0,2.0,Open,6.21,0.0,1913.96,0,False
2005-03-01,2005-01-27,2005-04-28,1955.0,2084.4,2103.25,2103.25,1,,10.0,2.0,Open,4.95,54.36,2019.12,7,False
2005-03-01,2005-01-31,2005-04-28,2057.6,2084.4,2103.25,2103.25,2,1.0,2.0,1.0,Open,5.69,59.75,2019.12,7,False
2005-03-01,2005-02-01,2005-04-28,2059.85,2084.4,2103.25,2103.25,3,1.0,2.0,1.0,Open,5.76,51.24,2019.12,6,False
2005-03-01,2005-02-03,2005-04-28,2079.45,2084.4,2103.25,2103.25,4,1.0,2.0,1.0,Open,5.89,51.18,2019.12,6,False
2005-03-01,2005-02-11,2005-04-28,2082.05,2084.4,2103.25,2103.25,5,1.0,3.0,1.0,Open,6.51,51.18,2019.12,6,False
2005-03-01,2005-02-14,2005-04-28,2098.25,2084.4,2103.25,2103.25,6,1.0,2.0,1.0,Open,6.78,51.2,2019.12,6,False
2005-03-01,2005-02-14,2005-04-28,2098.25,2084.4,2103.25,2103.25,7,1.0,6.0,2.0,Open,6.78,51.2,2019.12,6,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,8,1.0,3.0,3.0,Open,5.69,5.76,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,9,5.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,10,7.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,11,6.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,12,3.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,13,4.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-01,2005-02-28,2005-05-26,2103.25,2084.4,2103.25,2103.25,14,2.0,2.0,2.0,Open,6.21,6.28,1913.96,1,False
2005-03-02,2005-01-27,2005-04-28,1955.0,2093.25,2103.25,2103.25,1,,10.0,2.0,Open,4.95,55.32,2019.12,7,False
2005-03-02,2005-01-31,2005-04-28,2057.6,2093.25,2103.25,2103.25,2,1.0,2.0,1.0,Open,5.69,60.79,2040.15,7,False
2005-03-02,2005-02-01,2005-04-28,2059.85,2093.25,2103.25,2103.25,3,1.0,2.0,1.0,Open,5.76,52.14,2019.12,6,False
2005-03-02,2005-02-03,2005-04-28,2079.45,2093.25,2103.25,2103.25,4,1.0,2.0,1.0,Open,5.89,52.08,2019.12,6,False
2005-03-02,2005-02-11,2005-04-28,2082.05,2093.25,2103.25,2103.25,5,1.0,3.0,1.0,Open,6.51,52.08,2019.12,6,False
2005-03-02,2005-02-14,2005-04-28,2098.25,2093.25,2103.25,2103.25,6,1.0,2.0,1.0,Open,6.78,52.1,2019.12,6,False
2005-03-02,2005-02-14,2005-04-28,2098.25,2093.25,2103.25,2103.25,7,1.0,6.0,2.0,Open,6.78,52.1,2019.12,6,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,8,1.0,3.0,3.0,Open,5.69,5.82,1913.96,1,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,9,5.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,10,7.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,11,6.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,12,3.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
2005-03-02,2005-02-28,2005-05-26,2103.25,2093.25,2103.25,2103.25,13,4.0,2.0,2.0,Open,6.21,6.36,1913.96,1,False
